participant,line_num,label,image_clicked,trial_start_time,context_start_time,context_end_time,target_start_time,target_audio_start_time,target_audio_end_time,mouse_move,mouse_start_time,mouse_end_time,question_answer_time,trial_end_time
03A,3321,Trial: 25,target,1.573314e6,1.574314e6,1.592821e6,1.592879e6,1.592912e6,1.595784e6,0,1.592879e6,1.596166e6,1.598974e6,1.598976e6
03A,3446,Trial: 26,target,1.601669e6,1.602669e6,1.624294e6,1.624803e6,1.624833e6,1.627063e6,0,1.624803e6,1.627486e6,1.628806e6,1.628809e6
03A,3562,Trial: 27,target,1.630457e6,1.631457e6,1.651316e6,1.651723e6,1.651754e6,1.653994e6,0,1.651724e6,1.654335e6,1.655613e6,1.655615e6
03A,3707,Trial: 28,target,1.657945e6,1.658945e6,1.676988e6,1.677026e6,1.677055e6,1.679962e6,0,1.677026e6,1.681151e6,1.682886e6,1.682888e6
03A,3868,Trial: 29,target,1.685832e6,1.686832e6,1.701518e6,1.701878e6,1.701906e6,1.70423e6,0,1.701878e6,1.70571e6,1.707758e6,1.70776e6
03A,3993,Trial: 30,target,1.709484e6,1.710484e6,1.737331e6,1.737388e6,1.737418e6,1.73957e6,0,1.737388e6,1.739862e6,1.74282e6,1.742822e6
03A,4110,Trial: 31,target,1.745311e6,1.746311e6,1.766749e6,1.767177e6,1.767209e6,1.77033e6,0,1.767178e6,1.770574e6,1.772549e6,1.772552e6
03A,4231,Trial: 32,target,2.098912e6,2.099912e6,2.119164e6,2.119494e6,2.119522e6,2.121639e6,0,2.119494e6,2.122722e6,2.124834e6,2.124837e6
03A,4342,Trial: 33,target,2.127116e6,2.128116e6,2.153191e6,2.153236e6,2.153273e6,2.15594e6,0,2.153236e6,2.15645e6,2.158168e6,2.158171e6
03A,4457,Trial: 34,target,2.159908e6,2.160908e6,2.18065e6,2.181374e6,2.181404e6,2.183672e6,0,2.181374e6,2.184041e6,2.185794e6,2.185796e6
03A,4569,Trial: 35,target,2.187829e6,2.188829e6,2.21982e6,2.21992e6,2.219955e6,2.221928e6,0,2.21992e6,2.222321e6,2.224193e6,2.224195e6
03A,4678,Trial: 36,target,2.225974e6,2.226974e6,2.250089e6,2.250626e6,2.250657e6,2.252758e6,0,2.250627e6,2.252962e6,2.255025e6,2.255027e6
03A,4784,Trial: 37,target,2.256965e6,2.257964e6,2.276281e6,2.276713e6,2.276748e6,2.27909e6,0,2.276713e6,2.279681e6,2.281545e6,2.281547e6
03A,4868,Trial: 38,target,2.283685e6,2.284685e6,2.306785e6,2.306869e6,2.306899e6,2.30972e6,0,2.306869e6,2.309959e6,2.311896e6,2.311899e6
03A,5012,Trial: 39,target,2.313507e6,2.314507e6,2.334395e6,2.335024e6,2.33506e6,2.33791e6,0,2.335024e6,2.337967e6,2.339632e6,2.339635e6
